Coho,Chinook,Pink,Steelhead
291,184,270,197
291,184,270,197
291,184,270,197
291,184,270,197
291,184,270,197
291,184,270,198
291,184,270,198
291,184,270,198
291,184,270,198
291,184,270,198
291,184,270,198
291,184,270,198
291,184,270,198
291,184,270,198
291,184,270,198
291,184,270,198
291,184,271,198
291,184,271,198
291,184,271,198
291,184,271,198
291,184,271,198
291,184,271,198
291,184,271,198
291,184,271,198
291,184,271,198
292,184,271,199
292,184,271,199
292,184,272,199
292,184,272,199
292,184,272,199
292,184,272,200
292,184,272,200
292,184,272,200
292,184,272,200
292,184,272,200
292,184,272,200
292,184,274,200
292,184,274,200
292,184,274,200
292,184,274,200
292,185,274,200
292,185,274,200
292,185,274,200
292,185,274,200
292,185,274,200
292,185,274,200
292,185,274,200
292,185,274,200
292,185,274,200
292,185,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,200
292,186,274,201
292,186,274,201
292,187,274,201
292,187,274,201
292,187,274,201
292,187,274,202
292,187,274,202
292,187,274,202
292,187,274,202
292,187,276,202
292,187,276,202
292,187,276,202
292,187,276,203
292,187,276,203
292,187,276,203
292,187,276,203
292,187,276,203
293,187,276,203
293,187,276,203
293,187,276,203
293,187,276,203
293,187,276,203
293,187,276,203
293,187,276,203
293,187,276,203
293,187,276,203
293,188,276,203
293,188,276,204
293,188,276,204
293,188,276,204
293,188,276,204
293,188,276,204
293,188,276,204
293,188,276,204
294,188,276,204
294,188,276,204
294,188,276,204
294,188,276,204
294,188,276,204
294,188,276,204
294,188,276,204
294,188,276,205
294,188,276,206
294,188,276,206
294,189,276,206
294,189,276,206
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,207
294,189,276,208
294,189,276,208
294,189,278,208
294,189,278,208
294,189,278,208
294,189,278,208
294,189,278,208
294,189,278,208
294,189,278,208
294,189,278,208
294,189,278,210
294,189,278,210
294,189,278,211
294,189,278,211
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,278,212
294,190,281,212
294,190,281,212
294,190,281,212
294,190,283,212
294,190,292,212
294,190,,212
294,190,,212
294,191,,212
294,191,,212
294,191,,212
294,191,,212
294,191,,212
294,191,,212
294,191,,215
294,191,,215
294,191,,215
294,191,,215
