HATCHERY Fall Chinook,HATCHERY Winter Steelhead,HATCHERY Type S Coho,HATCHERY Type N Coho,WILD  Chum
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,322,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,289,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,290,329,317
294,014,292,329,317
294,014,292,329,317
294,014,292,329,317
294,014,292,329,317
294,014,292,329,317
294,014,292,329,317
294,014,292,329,317
294,014,292,329,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
294,014,292,331,317
297,014,292,331,317
297,014,292,331,317
297,014,292,331,317
297,014,292,331,317
297,014,292,331,317
297,014,292,331,317
297,014,292,331,317
297,014,292,331,317
297,014,292,331,317
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,014,292,332,318
297,015,292,332,318
297,015,292,332,318
297,015,292,332,318
297,015,292,332,318
297,015,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,016,292,333,318
297,018,292,333,318
297,018,292,333,318
297,018,292,333,318
297,020,292,333,318
297,020,292,333,318
297,020,292,333,318
297,020,292,333,318
297,020,292,333,318
297,021,292,333,318
297,021,292,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,021,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
297,023,293,333,318
299,023,293,333,318
299,023,293,333,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,293,334,318
299,023,294,334,318
