WILD Winter-Late Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead,HATCHERY Winter-Late Steelhead,HATCHERY Type N Coho
,208,033,099,334
,208,033,099,334
,208,033,099,334
,208,033,100,334
,208,033,100,334
,208,033,100,334
,208,034,100,334
,208,034,100,334
,208,034,100,334
,208,034,100,334
,208,034,100,334
,208,034,100,334
,208,034,100,334
,208,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,209,034,100,334
,210,034,100,334
,210,034,100,335
,210,034,100,335
,210,034,100,335
,210,034,100,335
,210,034,100,335
,210,034,100,335
,210,034,100,335
,210,035,100,335
,210,035,100,335
,210,035,100,335
,210,035,100,335
,210,035,100,335
,210,035,100,335
,210,035,100,335
,210,036,100,335
,210,036,100,335
,211,036,100,335
,211,036,100,335
,211,036,100,335
,211,036,100,335
,211,036,100,335
,211,037,100,335
,211,037,100,335
,211,038,100,335
,211,038,100,335
,211,038,100,335
,211,038,100,336
,211,038,100,336
,211,038,100,336
,211,038,100,336
,212,038,100,336
,212,038,100,336
,212,039,100,336
,212,039,100,336
,212,039,100,336
,212,040,100,336
,212,040,100,336
,212,041,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,042,100,337
,212,043,100,337
,212,043,100,337
,212,044,100,337
,212,044,100,337
,212,044,100,337
,212,044,100,337
,213,044,100,337
,213,044,100,337
,213,044,100,339
,213,044,100,339
,213,044,100,339
,213,044,100,339
,213,045,100,339
,213,046,100,339
,214,046,100,339
,214,046,100,339
,214,046,100,339
,214,046,100,340
,214,046,100,340
,214,046,100,340
,214,046,100,340
,214,046,100,340
,214,051,100,340
,214,051,100,340
,214,051,100,340
,214,051,100,340
,214,051,100,340
,214,051,100,340
,214,051,100,340
,214,051,100,341
,214,051,100,341
,214,051,100,341
,214,051,100,341
,214,051,100,341
,215,051,100,341
,215,052,100,341
,215,053,100,341
,215,053,100,341
,215,053,100,341
,215,053,100,341
,215,054,100,341
,215,054,100,341
,215,054,100,341
,215,054,101,341
,215,054,101,341
,215,054,101,341
,215,055,101,341
,215,055,101,341
,215,055,101,341
,215,055,101,341
,215,055,101,341
,215,057,101,341
,215,058,101,341
,215,058,101,342
,215,058,101,342
,215,058,101,342
,216,058,101,342
,216,058,101,342
,216,058,101,342
,216,059,101,342
,216,059,101,342
,216,059,101,342
,216,059,101,342
,216,062,101,342
,216,063,101,342
,216,066,101,343
,216,066,101,343
,217,066,101,343
,217,066,101,343
,217,068,101,343
,217,068,102,343
,217,070,102,344
,217,070,102,344
,217,070,102,344
,218,072,102,344
,218,072,102,344
,218,073,102,344
,218,073,102,344
,218,078,102,344
,218,078,102,344
,218,079,102,344
,219,080,102,344
,219,081,102,344
,219,083,102,344
,219,088,102,344
,219,097,102,344
,219,099,102,344
,219,099,102,344
,219,100,102,344
,219,100,102,344
,219,103,102,344
,219,103,102,344
,219,106,102,344
,219,106,102,344
,219,110,102,344
,219,110,102,344
,219,110,102,344
,219,111,102,344
,220,111,102,344
,220,111,102,344
,220,111,102,346
,220,113,102,346
,220,113,102,346
,220,113,102,346
,220,115,102,346
,220,116,102,346
,220,117,103,346
,220,117,103,346
,220,117,103,346
,220,117,103,346
,220,119,103,346
,220,120,103,346
,220,120,103,346
,220,123,103,346
,220,124,103,346
,220,124,103,346
,221,127,103,346
,221,129,103,346
,221,134,103,346
,221,137,103,346
,221,139,103,346
,221,146,103,347
,221,308,103,347
,221,308,103,347
,221,308,103,347
,221,308,103,347
,221,313,103,348
,221,317,103,348
,221,317,103,348
,221,317,103,348
,222,317,103,348
,222,319,103,348
,222,320,103,348
,222,323,103,348
,222,323,103,348
,222,325,103,348
,222,327,103,348
,222,327,103,348
,222,328,103,348
,222,328,103,348
,222,328,103,348
,222,328,103,348
