WILD Spring Chinook,WILD Summer Chinook,HATCHERY Spring Chinook,HATCHERY Summer Chinook,WILD Summer Steelhead,HATCHERY Summer Steelhead
,220,,212,270,256
,220,,212,270,256
,220,,212,270,256
,220,,212,271,256
,220,,212,271,256
,220,,212,272,256
,220,,213,272,256
,220,,213,273,256
,220,,213,273,257
,220,,213,273,257
,220,,213,273,257
,220,,213,274,257
,220,,213,274,257
,220,,213,274,257
,220,,213,274,257
,220,,213,275,257
,220,,213,275,257
,220,,214,275,257
,220,,214,275,257
,220,,214,276,257
,220,,214,276,257
,220,,214,276,257
,220,,214,276,257
,220,,214,276,257
,220,,214,276,258
,220,,214,276,258
,220,,214,276,258
,220,,214,277,258
,220,,214,277,258
,221,,214,280,258
,221,,214,280,258
,221,,215,280,259
,221,,215,280,259
,221,,215,280,259
,221,,215,281,259
,221,,215,281,259
,221,,215,281,259
,221,,215,281,259
,221,,215,282,259
,221,,215,282,259
,222,,216,282,259
,222,,216,282,259
,222,,216,283,259
,222,,216,284,259
,222,,216,284,259
,222,,216,284,259
,222,,216,284,259
,222,,217,284,260
,222,,217,285,260
,222,,217,285,260
,222,,217,285,260
,222,,217,287,260
,222,,217,288,260
,222,,217,289,261
,222,,217,290,261
,222,,217,290,261
,222,,217,291,261
,222,,217,291,261
,222,,217,291,261
,222,,217,291,261
,223,,218,291,261
,223,,218,292,261
,223,,218,294,261
,223,,218,296,261
,223,,218,296,261
,223,,218,296,261
,223,,218,296,262
,223,,218,296,262
,223,,218,296,262
,223,,218,297,262
,223,,218,297,262
,223,,218,297,262
,223,,218,298,262
,223,,218,298,262
,223,,219,298,262
,223,,219,298,262
,223,,219,303,262
,223,,219,303,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,223,,219,,263
,224,,219,,264
,224,,219,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,264
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,265
,224,,220,,266
,224,,220,,266
,225,,220,,266
,225,,220,,266
,225,,220,,266
,225,,221,,266
,225,,221,,266
,225,,221,,266
,225,,221,,266
,225,,221,,266
,225,,221,,266
,225,,221,,266
,225,,222,,267
,225,,222,,267
,225,,222,,267
,225,,222,,267
,226,,222,,267
,226,,222,,267
,226,,222,,267
,226,,222,,267
,226,,222,,267
,226,,222,,267
,226,,222,,268
,226,,222,,268
,226,,222,,268
,226,,222,,268
,226,,222,,268
,227,,222,,268
,227,,222,,268
,227,,222,,268
,227,,222,,268
,227,,222,,268
,227,,222,,268
,227,,222,,268
,227,,222,,268
,227,,222,,268
,227,,223,,268
,228,,223,,268
,228,,223,,269
,228,,223,,269
,228,,223,,269
,228,,223,,269
,228,,223,,269
,228,,223,,269
,228,,223,,269
,228,,223,,269
,228,,223,,269
,228,,223,,269
,229,,223,,269
,229,,223,,269
,229,,223,,269
,229,,223,,269
,229,,223,,270
,229,,223,,270
,229,,223,,270
,229,,223,,270
,229,,223,,270
,229,,223,,270
,229,,223,,270
,230,,223,,270
,230,,223,,270
,230,,223,,270
,230,,223,,271
,230,,223,,271
,230,,223,,271
,230,,223,,271
,230,,223,,271
,230,,223,,271
,231,,223,,271
,231,,223,,271
,231,,224,,271
,231,,224,,271
,231,,224,,271
,231,,224,,271
,231,,224,,271
,231,,224,,272
,231,,224,,272
,231,,224,,272
,231,,224,,272
,231,,224,,272
,231,,224,,272
,232,,224,,272
,232,,224,,272
,232,,224,,272
,232,,224,,272
,232,,225,,272
,232,,225,,272
,232,,225,,272
,233,,225,,272
,233,,225,,273
,233,,225,,273
,233,,225,,273
,233,,225,,273
,233,,226,,273
,233,,226,,273
,233,,226,,273
,233,,226,,273
,233,,226,,273
,234,,226,,273
,234,,226,,274
,234,,226,,274
,234,,227,,274
,234,,227,,274
,234,,227,,274
,234,,227,,274
,234,,227,,274
,234,,227,,274
,234,,227,,275
,234,,227,,275
,234,,227,,275
,234,,227,,275
,234,,227,,275
,234,,227,,275
,234,,228,,275
,234,,228,,275
,234,,228,,275
,234,,228,,275
,234,,228,,275
,234,,228,,275
,234,,228,,275
,234,,228,,275
,234,,228,,276
,234,,228,,276
,234,,229,,276
,234,,229,,276
,234,,229,,276
,235,,229,,276
,235,,229,,276
,235,,229,,276
,235,,229,,276
,235,,229,,277
,235,,230,,277
,235,,230,,277
,235,,230,,277
,235,,230,,277
,236,,230,,277
,236,,230,,278
,236,,230,,278
,236,,230,,278
,236,,231,,278
,236,,231,,279
,236,,231,,279
,236,,231,,279
,236,,231,,279
,236,,231,,280
,236,,231,,280
,236,,231,,280
,236,,231,,280
,236,,232,,280
,236,,232,,280
,236,,232,,280
,237,,233,,280
,237,,233,,281
,237,,233,,281
,237,,233,,281
,237,,233,,281
,237,,233,,281
,237,,233,,281
,237,,234,,282
,237,,234,,282
,237,,234,,282
,237,,234,,282
,238,,234,,282
,238,,234,,282
,238,,234,,282
,238,,234,,282
,238,,234,,282
,238,,234,,283
,238,,234,,283
,239,,234,,283
,239,,234,,283
,239,,234,,283
,239,,234,,283
,239,,234,,283
,239,,234,,284
,239,,235,,284
,240,,235,,284
,240,,235,,284
,240,,235,,284
,240,,235,,285
,240,,235,,285
,241,,236,,285
,241,,236,,285
,241,,236,,285
,241,,236,,285
,241,,236,,285
,241,,236,,286
,242,,236,,286
,242,,236,,286
,242,,236,,287
,242,,236,,287
,242,,236,,287
,243,,237,,287
,243,,237,,287
,243,,237,,287
,243,,237,,287
,243,,237,,288
,243,,237,,288
,243,,238,,288
,243,,238,,288
,243,,238,,288
,243,,239,,289
,244,,240,,289
,244,,240,,289
,244,,240,,289
,244,,240,,289
,244,,240,,290
,245,,240,,290
,245,,240,,290
,245,,240,,290
,245,,240,,290
,246,,240,,291
,246,,241,,291
,246,,241,,291
,248,,241,,291
,248,,241,,292
,248,,241,,292
,248,,241,,292
,249,,241,,292
,249,,241,,293
,250,,241,,293
,254,,242,,294
,254,,242,,294
,254,,242,,295
,256,,242,,295
,256,,242,,295
,257,,242,,295
,258,,243,,296
,258,,243,,296
,262,,243,,296
,268,,243,,296
,268,,243,,296
,271,,243,,297
,275,,243,,297
,275,,243,,297
,275,,244,,297
,275,,244,,298
,299,,244,,298
,299,,244,,299
,299,,245,,300
,299,,245,,300
,299,,245,,301
,299,,246,,301
,299,,248,,301
,299,,248,,303
,299,,248,,305
,299,,249,,305
,299,,250,,306
,299,,258,,308
,299,,262,,308
,305,,268,,308
,305,,275,,313
,305,,299,,313
,305,,299,,314
,,,,,315
,,,,,320
,,,,,360
