WILD Fall Chinook,HATCHERY Fall Chinook,WILD  Coho
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,294
266,271,295
266,271,295
266,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,295
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
267,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,296
268,272,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,273,297
268,274,298
268,274,298
268,274,298
268,274,298
268,274,298
268,274,298
268,274,298
268,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,274,298
269,275,298
269,275,298
269,275,298
269,275,298
269,275,298
269,275,298
269,275,298
269,275,298
269,275,299
269,275,299
269,275,299
269,275,299
269,275,299
269,275,299
269,275,299
269,275,299
269,276,299
269,276,299
269,276,299
269,276,299
269,276,299
269,276,299
269,276,299
269,276,299
269,276,299
269,276,299
269,276,299
270,276,299
270,277,299
270,277,299
270,277,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,299
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,300
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,301
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,278,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,302
270,279,303
270,279,303
270,279,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,303
270,280,304
270,280,304
270,280,304
270,280,304
270,280,304
270,280,304
270,280,304
270,280,304
270,281,304
270,281,304
270,281,304
270,281,304
270,281,304
270,281,304
270,281,304
270,283,304
270,283,304
270,283,304
270,283,304
270,284,304
270,284,304
270,284,304
270,284,304
270,284,304
270,284,304
270,284,304
270,284,304
270,284,304
271,284,304
271,284,304
271,284,304
271,284,304
271,284,304
271,284,304
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,284,305
271,285,305
271,285,305
271,285,305
271,285,305
271,285,305
271,285,305
271,285,305
271,285,305
271,285,305
271,285,305
271,285,305
271,285,305
271,286,305
271,286,305
271,286,306
271,286,306
271,286,306
271,286,306
271,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,286,306
272,287,306
272,287,306
272,287,306
272,287,306
272,287,306
272,287,306
272,287,306
272,288,306
272,288,306
272,288,306
272,288,306
272,288,306
272,288,306
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,289,307
272,290,307
272,290,307
272,290,307
272,290,307
272,291,307
272,291,307
272,291,307
272,291,307
272,291,307
272,291,307
272,291,307
272,291,307
272,291,308
272,292,308
272,292,308
272,292,308
272,292,308
272,292,308
272,292,308
272,292,308
272,292,308
272,292,308
272,292,309
272,292,309
272,292,309
272,292,309
272,292,309
272,292,309
272,292,309
272,292,309
272,292,309
272,292,309
272,292,311
272,292,311
272,292,311
272,292,312
273,292,312
273,292,312
273,292,312
273,293,312
273,293,312
273,293,312
273,294,312
273,294,312
273,294,312
273,294,313
273,294,313
273,294,313
273,294,313
273,294,313
273,294,313
273,294,313
273,294,313
273,294,313
273,294,313
273,294,313
273,295,313
273,295,313
273,295,313
273,295,313
273,295,313
273,295,313
273,295,313
273,295,313
273,295,313
273,297,313
273,297,313
273,297,313
273,297,313
273,297,313
273,297,313
273,297,313
273,298,313
273,298,313
273,298,313
273,298,313
273,298,313
273,298,313
273,300,313
273,300,313
273,300,313
273,300,313
274,300,313
274,300,313
274,300,313
274,300,314
274,300,314
274,300,314
274,301,314
274,301,314
274,301,314
274,301,314
274,301,314
274,301,314
274,301,314
274,302,315
274,302,315
274,302,315
274,302,315
274,303,315
274,303,315
274,303,315
274,304,315
274,304,315
274,304,315
274,304,315
274,305,315
274,305,315
274,305,315
274,305,315
274,305,315
274,305,315
274,305,322
274,305,322
274,305,322
274,305,
274,305,
274,305,
274,305,
274,305,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
275,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
276,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
277,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
278,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
279,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
280,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
281,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
282,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
283,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
284,,
285,,
285,,
285,,
285,,
285,,
285,,
285,,
285,,
285,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
286,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
287,,
288,,
288,,
288,,
288,,
288,,
288,,
288,,
288,,
288,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
289,,
290,,
290,,
290,,
290,,
290,,
290,,
290,,
290,,
290,,
290,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
291,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
292,,
293,,
293,,
294,,
294,,
294,,
294,,
295,,
295,,
295,,
295,,
295,,
295,,
295,,
295,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
296,,
297,,
297,,
297,,
297,,
297,,
297,,
297,,
297,,
297,,
298,,
298,,
298,,
298,,
298,,
298,,
298,,
298,,
298,,
298,,
299,,
299,,
299,,
299,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
300,,
301,,
301,,
301,,
301,,
301,,
301,,
301,,
301,,
301,,
301,,
301,,
301,,
301,,
302,,
302,,
302,,
302,,
303,,
305,,
307,,
307,,
307,,
307,,
308,,
308,,
314,,
314,,
314,,
314,,
314,,
314,,
314,,
314,,
314,,
314,,
314,,
314,,
314,,
