WILD Fall Chinook,HATCHERY Fall Chinook,WILD  Coho
261,266,287
261,266,287
261,266,287
261,266,287
261,266,287
261,266,287
261,266,287
261,266,287
261,266,287
261,266,287
261,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,287
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,266,288
262,267,288
262,267,288
262,267,288
262,267,288
262,267,288
262,267,288
262,267,288
263,267,288
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
263,267,289
264,267,289
264,267,289
264,267,289
264,267,289
264,267,289
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,267,290
264,268,290
264,268,290
264,268,290
264,268,290
264,268,290
264,268,290
264,268,290
264,268,290
264,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,290
265,268,291
265,268,291
265,268,291
265,268,291
265,268,291
265,268,291
265,268,291
265,268,291
265,268,291
265,268,291
265,268,291
265,268,291
265,269,291
265,269,291
265,269,291
265,269,291
265,269,292
265,269,292
265,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,269,292
266,270,292
266,270,292
266,270,292
266,270,292
266,270,292
266,270,292
266,270,292
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,270,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
266,271,293
