HATCHERY Fall Chinook,HATCHERY Winter Steelhead,HATCHERY  Coho,HATCHERY  Chum
293,342,326,324
293,342,327,325
293,342,327,325
293,342,327,325
293,342,327,325
294,342,327,325
294,342,327,325
294,342,327,325
294,343,327,325
294,343,327,325
294,343,327,325
294,343,327,325
294,343,327,325
294,343,327,325
295,344,328,325
295,344,328,325
295,344,328,325
295,344,328,325
295,344,328,325
295,344,328,325
295,344,328,325
295,344,328,325
295,344,328,325
295,344,329,325
295,344,332,325
295,346,332,325
295,346,332,326
295,346,332,326
295,346,332,326
295,346,332,326
295,346,332,326
295,347,332,326
295,347,332,326
295,347,333,326
295,347,334,326
296,347,334,326
296,347,334,326
296,349,334,326
296,349,334,326
296,349,335,326
296,349,335,326
297,349,335,326
298,349,336,326
299,349,336,326
299,349,336,326
301,349,336,326
301,349,336,326
301,349,336,326
301,349,336,326
301,349,336,326
301,349,336,326
301,351,336,327
301,351,337,327
301,351,337,327
301,351,337,327
301,351,337,327
301,351,337,327
302,356,338,327
302,356,338,327
302,356,338,327
302,356,338,327
303,356,338,327
303,362,338,327
303,362,338,327
304,362,339,327
304,362,339,327
304,362,339,327
304,362,339,327
304,365,342,328
304,365,342,328
304,365,342,328
305,365,342,328
305,365,342,328
306,365,346,328
306,365,349,328
306,365,349,328
306,365,352,328
306,365,352,328
308,365,353,328
308,365,,328
309,365,,328
309,365,,328
310,365,,328
311,365,,328
312,365,,328
312,365,,328
312,365,,328
312,365,,328
,365,,329
,365,,329
,365,,329
,365,,329
,,,329
,,,329
,,,329
,,,329
,,,329
,,,329
,,,329
,,,329
,,,329
,,,329
,,,329
,,,329
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,330
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,331
,,,332
,,,332
,,,332
,,,332
,,,332
,,,332
,,,332
,,,332
,,,333
,,,333
,,,333
,,,333
,,,333
,,,333
,,,333
,,,333
,,,333
,,,333
,,,334
,,,334
,,,334
,,,334
,,,334
,,,334
,,,334
,,,334
,,,335
,,,335
,,,335
,,,335
,,,335
,,,336
,,,336
,,,336
,,,336
,,,337
,,,337
,,,338
,,,342
,,,342
,,,342
,,,342
,,,342
