HATCHERY Fall Chinook,HATCHERY  Coho,HATCHERY  Chum,HATCHERY Fall Chum,HATCHERY  Pink
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,209
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,210
232,266,303,,211
232,266,303,,211
232,266,303,,211
232,268,303,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
232,268,304,,211
233,268,304,,211
233,268,304,,211
233,268,304,,211
233,268,304,,211
233,268,304,,211
233,268,304,,211
233,268,304,,211
233,268,304,,212
233,268,304,,212
233,268,304,,212
233,268,304,,212
233,268,304,,212
233,268,304,,212
233,268,304,,212
233,268,304,,212
233,268,304,,212
233,268,304,,212
233,269,304,,212
233,269,304,,212
233,269,304,,212
233,269,304,,212
233,269,304,,212
233,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,212
234,269,304,,213
234,269,304,,213
235,269,304,,213
235,269,304,,213
235,269,304,,213
235,269,304,,213
235,269,304,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
235,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,269,305,,213
236,270,305,,213
236,270,305,,213
236,270,305,,213
236,270,305,,213
236,270,305,,213
236,270,305,,213
236,270,305,,213
236,270,305,,213
236,270,306,,213
236,270,306,,213
236,270,306,,213
236,270,306,,213
236,270,306,,213
236,270,306,,213
236,270,306,,213
236,270,306,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,213
236,270,307,,214
236,270,307,,214
236,270,307,,214
236,270,307,,214
236,270,307,,214
236,270,308,,214
