HATCHERY Spring Chinook,HATCHERY Fall Chinook,WILD Winter Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead,WILD Type S Coho,HATCHERY Type S Coho,HATCHERY Type N Coho
159,258,119,333,031,312,287,312
159,258,119,333,031,312,287,312
159,258,119,333,031,312,287,312
159,258,119,333,031,312,287,312
159,258,119,333,031,312,287,312
159,258,119,333,031,312,287,312
159,258,119,333,031,312,287,312
159,258,119,346,031,312,287,312
159,258,119,346,031,312,287,312
159,258,119,346,031,312,287,312
159,258,119,346,031,312,287,312
159,258,119,346,031,312,287,312
159,258,119,346,031,312,287,312
159,258,119,346,031,312,287,312
159,258,119,346,031,312,288,312
160,258,119,346,031,312,288,314
160,258,119,346,031,312,288,314
160,258,119,346,031,312,288,314
160,258,119,346,031,312,288,314
160,258,119,346,031,312,288,314
160,258,120,352,031,312,288,314
160,258,120,353,031,312,288,314
160,258,120,353,031,312,288,314
160,259,120,353,031,312,288,314
160,259,120,361,031,312,288,314
160,259,120,,031,312,288,314
160,259,120,,031,312,288,314
164,259,120,,031,312,288,314
164,259,120,,033,312,288,314
164,259,120,,033,312,288,314
164,259,120,,033,312,288,314
164,259,120,,033,312,288,314
164,259,120,,033,312,288,314
164,259,120,,034,312,288,314
164,259,120,,034,312,288,314
164,259,120,,034,312,288,314
164,259,120,,034,312,288,314
164,259,120,,034,312,289,314
164,259,120,,034,312,289,314
164,259,120,,034,312,289,314
164,259,120,,034,312,289,314
164,259,120,,034,312,289,314
164,259,120,,034,312,289,314
164,259,120,,034,312,289,314
164,259,120,,034,312,289,314
164,259,120,,034,312,289,314
168,259,120,,034,312,289,314
168,259,120,,034,312,289,314
168,259,120,,034,312,289,314
168,259,120,,034,312,289,314
168,259,120,,034,312,289,314
168,259,120,,034,312,289,314
168,259,120,,034,312,289,314
168,260,120,,034,312,289,314
168,260,120,,034,312,289,314
174,260,120,,034,312,289,314
174,260,120,,034,312,289,314
174,260,120,,034,312,289,314
174,260,120,,034,312,289,314
174,260,120,,034,312,289,314
174,260,120,,034,312,289,314
174,260,120,,036,312,289,314
174,260,120,,036,312,289,314
174,260,120,,036,312,289,314
174,260,120,,036,312,289,315
175,260,120,,038,312,289,315
175,260,120,,038,312,289,315
175,260,120,,038,312,289,315
175,260,120,,038,312,289,315
175,261,120,,043,312,289,315
178,261,120,,043,312,289,315
178,261,120,,043,312,289,315
178,261,120,,044,312,289,315
178,261,120,,044,312,289,315
178,261,120,,044,312,289,315
178,261,123,,044,312,289,315
178,261,123,,044,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,312,289,315
178,261,123,,047,320,289,315
178,261,126,,047,320,289,315
178,261,126,,053,320,289,315
178,261,126,,053,320,289,315
179,261,126,,053,320,289,315
179,261,126,,053,320,289,315
179,261,126,,053,320,289,315
179,261,126,,053,320,289,315
179,262,126,,053,320,289,315
179,262,126,,056,320,289,315
192,262,126,,056,320,289,315
192,262,126,,056,320,289,319
192,262,126,,058,320,289,319
192,262,126,,059,320,289,319
192,262,126,,059,320,289,319
192,262,126,,061,320,289,320
192,262,126,,061,320,289,320
192,262,126,,061,320,289,320
192,262,126,,063,320,289,320
192,262,126,,063,320,289,320
192,262,126,,063,320,289,320
192,262,126,,068,320,289,320
206,262,126,,068,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,320,289,320
206,262,126,,070,,289,320
206,262,126,,070,,289,320
206,262,126,,070,,289,320
206,262,126,,070,,289,320
206,262,126,,070,,289,320
206,262,126,,070,,289,320
206,262,126,,070,,289,320
206,262,128,,070,,289,320
206,262,128,,070,,289,320
206,262,128,,070,,289,320
206,262,128,,070,,289,322
206,263,128,,070,,289,322
206,263,128,,070,,289,322
206,263,128,,071,,289,322
206,263,128,,075,,289,322
206,263,128,,075,,289,322
206,263,128,,075,,289,325
206,263,128,,082,,289,325
206,263,128,,083,,289,327
206,263,128,,083,,289,327
206,263,128,,084,,289,327
206,263,128,,084,,289,327
206,263,128,,165,,289,327
206,263,128,,165,,289,327
206,263,128,,165,,289,327
206,263,128,,165,,289,327
206,263,128,,165,,289,327
235,263,131,,165,,289,327
235,263,131,,165,,289,327
235,263,131,,165,,289,327
235,263,131,,312,,289,327
235,263,131,,312,,289,327
235,263,131,,319,,289,327
235,263,131,,319,,289,327
235,263,131,,319,,289,327
235,263,131,,319,,289,327
235,263,131,,319,,289,327
235,263,131,,320,,289,327
235,263,131,,327,,290,327
235,263,131,,327,,290,327
235,263,131,,327,,290,327
235,263,131,,327,,290,327
235,263,131,,327,,290,327
242,263,131,,332,,290,327
242,263,131,,332,,290,327
242,263,131,,332,,290,327
242,263,131,,332,,290,327
242,263,131,,333,,290,327
242,263,131,,333,,290,327
242,263,131,,333,,290,327
242,263,131,,333,,290,327
242,263,131,,334,,290,327
242,263,131,,334,,290,327
242,264,131,,334,,290,327
242,264,131,,334,,290,327
242,264,131,,334,,290,327
242,264,131,,334,,290,327
242,264,131,,336,,290,327
242,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,264,131,,336,,290,327
252,265,131,,336,,290,327
252,265,131,,336,,290,327
252,265,131,,336,,290,327
252,265,131,,336,,290,327
252,265,131,,339,,290,327
252,265,131,,339,,290,327
252,265,131,,339,,290,327
252,265,131,,339,,290,327
252,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,327
255,265,131,,339,,290,329
255,265,131,,339,,290,329
255,265,131,,339,,290,329
265,265,131,,339,,290,329
,265,131,,339,,290,329
,265,131,,339,,290,329
,265,131,,339,,290,329
,265,131,,339,,290,329
,265,131,,339,,290,329
,265,132,,339,,290,329
,265,132,,340,,291,329
,266,132,,340,,291,329
,266,132,,340,,291,329
,266,132,,340,,291,329
,266,132,,340,,291,329
,266,132,,340,,291,329
,266,132,,340,,291,329
,266,132,,343,,291,329
,266,132,,343,,291,329
,266,132,,343,,291,329
,266,132,,343,,291,329
,266,132,,343,,291,329
,267,132,,343,,291,329
,267,132,,343,,291,329
,267,132,,343,,291,329
,267,132,,343,,291,329
,267,132,,343,,292,329
,267,132,,343,,292,329
,267,132,,343,,292,329
,267,132,,343,,292,329
,267,132,,343,,292,329
,267,132,,343,,292,329
,267,134,,343,,292,331
,267,134,,343,,292,331
,267,134,,343,,292,331
,267,134,,343,,292,331
,267,134,,343,,292,331
,267,134,,343,,292,331
,267,134,,343,,292,331
,267,134,,343,,292,331
,267,134,,343,,292,331
,267,134,,344,,292,331
,268,134,,344,,292,331
,268,134,,344,,292,331
,268,136,,344,,292,331
,268,136,,344,,292,331
,268,136,,344,,292,331
,268,136,,345,,292,332
,268,136,,345,,292,332
,268,136,,345,,292,332
,268,136,,345,,292,332
,268,136,,345,,293,332
,268,136,,345,,293,332
,268,136,,345,,293,332
,269,136,,345,,293,332
,269,136,,345,,293,332
,269,136,,345,,293,332
,269,136,,345,,293,332
,269,136,,345,,293,332
,269,137,,346,,293,332
,269,137,,346,,293,332
,269,137,,346,,293,332
,269,137,,346,,293,332
,269,137,,346,,293,332
,269,137,,346,,293,332
,269,137,,346,,293,332
,269,137,,346,,293,332
,271,137,,346,,293,332
,271,137,,347,,293,332
,271,137,,347,,293,332
,271,137,,347,,293,332
,271,151,,347,,293,332
,271,151,,349,,293,332
,272,151,,349,,293,332
,272,151,,349,,293,332
,272,151,,349,,293,332
,272,151,,349,,293,332
,272,151,,349,,293,332
,272,151,,349,,293,332
,272,151,,349,,293,332
,272,151,,349,,293,332
,273,151,,349,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,151,,350,,293,332
,273,165,,350,,293,332
,273,165,,350,,293,332
,273,165,,350,,293,333
,273,309,,350,,293,333
,273,309,,351,,293,333
,273,309,,351,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,333
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,334
,274,309,,352,,293,335
,274,309,,352,,293,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,274,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,275,309,,352,,294,335
,276,309,,352,,294,335
,276,309,,352,,294,335
,276,309,,352,,294,335
,276,309,,352,,295,335
,276,309,,352,,295,335
,276,309,,352,,295,335
,276,309,,352,,295,335
,276,309,,352,,295,335
,276,309,,353,,295,335
,276,309,,353,,295,335
,276,309,,353,,295,335
,276,309,,353,,295,335
,276,309,,353,,295,335
,276,309,,353,,295,335
,276,309,,353,,295,335
,276,309,,353,,295,335
,276,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,295,335
,277,309,,353,,296,335
,277,309,,353,,296,335
,278,309,,353,,296,336
,279,309,,353,,296,336
,279,309,,353,,296,336
,279,309,,353,,296,336
,279,309,,353,,296,336
,279,309,,353,,296,336
,279,343,,353,,296,336
,279,343,,354,,296,336
,279,343,,354,,296,336
,279,343,,354,,296,336
,279,,,354,,296,336
,279,,,355,,296,336
,279,,,355,,296,336
,279,,,356,,296,336
,279,,,356,,296,336
,279,,,356,,296,336
,279,,,356,,296,336
,280,,,356,,297,336
,280,,,356,,297,336
,280,,,356,,297,336
,280,,,356,,297,336
,280,,,356,,297,336
,280,,,356,,297,336
,280,,,356,,297,336
,280,,,356,,297,336
,280,,,356,,297,336
,280,,,356,,297,336
